Incident ID,Incident Type,Location/Context,Verification,Neighborhood,Date,Time,Description,State Kidnapping?,Agencies Involved,# of Agents,# of Unmarked Police Vehicles,Associated License Plates,Notes,Latitude,Longitude,Month,Date Category,Style Key
INC-001,Raid,Workplace or Business,Confirmed,West University,11-Feb-2025,1:00 PM,ICE/HSI agents visited a restaurant to ask about employees and intimidate the owner with error-ridden paperwork,No,Immigration and Customs Enforcement (ICE) / Homeland Security Investigations (HSI) [part of ICE],3,1+,CPH4967,,32.230988,-110.971769,February 2025,Older than 6 months,Raid_Older than 6 months
INC-002,Raid,Workplace or Business,Confirmed,South Tucson,18-Mar-2025,,"ICE/HSI operation at a local business with a judicial warrant, seeking documents. Agents said it was prompted by a tip submitted to a national database about the business",No,Immigration and Customs Enforcement (ICE) / Homeland Security Investigations (HSI) [part of ICE],15,10+,"BNV1970, CRJ0909, CRJ0922, CTN4078, CTN4202, CWB7511, CWL6441, CWN3939, CWW1146",,32.199504,-110.976768,March 2025,Older than 6 months,Raid_Older than 6 months
INC-003,Aerial Surveillance (Aircraft),Unknown/Other,Confirmed,"Millville, Santa Rita Park, etc",27-Mar-2025,3:30 PM,"DEA-linked surveillance plane (most likely N656RT, but smaller chance it could be N156RF, which has the same livery) registered to a shell company called Heritage Aviation Management Ltd, flying a surveillance operation over Millville, Santa Rita Park, and surrounding neighborhoods. This operation likely involved other agencies, possibly including ICE.",Unknown or Not Applicable,"Drug Enforcement Administration (DEA), likely working with other agencies",Unknown,N/A,N/A,"This aircraft was attempting to hide its presence by not broadcasting any identification or position data via Mode S/ADS‑B, and so its flight path and other information does not appear on sites like ADS-B Exchange. This flight was instead verified, and its flight path estimated, via observation and photographs from the ground.",32.209475,-110.959306,March 2025,Older than 6 months,Aerial Surveillance (Aircraft)_Older than 6 months
INC-004,Aerial Surveillance (Aircraft),Unknown/Other,Confirmed,"Diamond Bell Ranch, Three Points, etc",31-Mar-2025,11:33 AM,DHS/CBP surveillance plane N51824 flying a possible surveillance operation over Diamond Bell Ranch and surrounding areas south of Three Points,Unknown or Not Applicable,Department of Homeland Security (DHS) / U.S. Customs and Border Protection (CBP),Unknown,N/A,N/A,,31.979363,-111.299932,March 2025,Older than 6 months,Aerial Surveillance (Aircraft)_Older than 6 months
INC-005,Aerial Surveillance (Aircraft),Unknown/Other,Confirmed,"University of Arizona, Rincon Heights, etc",17-Apr-2025,11:00 AM,"DEA-linked surveillance plane N656RT, registered to a shell company called Heritage Aviation Management Ltd, flying a surveillance operation over the University of Arizona and surrounding neighborhoods. This operation likely involved other agencies, possibly including ICE.",Unknown or Not Applicable,"Drug Enforcement Administration (DEA), likely working with other agencies",Unknown,N/A,N/A,"This aircraft was attempting to hide its presence by not broadcasting any identification or position data via Mode S/ADS‑B, and so its flight path and other information does not appear on sites like ADS-B Exchange. This flight was instead verified, and its flight path estimated, via observation and photographs from the ground.",32.231713,-110.950503,April 2025,Older than 6 months,Aerial Surveillance (Aircraft)_Older than 6 months
INC-006,Aerial Surveillance (Aircraft),Unknown/Other,Confirmed,"Bravo Park Lane, Fairgrounds, etc",23-Apr-2025,11:24 AM,DHS/CBP-operated surveillance helicopter N370SR flying a surveillance operation over neighborhoods,Unknown or Not Applicable,Department of Homeland Security (DHS) / U.S. Customs and Border Protection (CBP),Unknown,N/A,N/A,,32.167638,-110.956227,April 2025,Older than 6 months,Aerial Surveillance (Aircraft)_Older than 6 months
INC-007,Vehicle Stop,Public Roadway,Confirmed,East Barrio Hollywood,23-Apr-2025,1:20 PM,"Vehicle stop initiated by a Pima County Sheriff’s Dept. deputy for a traffic violation. Deputy then called Border Patrol as back up. An ICE officer in plain clothes arrived on scene after the Border Patrol and left after talking with other officers. Sheriff’s deputy said the person would be booked by PCSD. Eventually another unmarked vehicle arrived with two TPD officers in plain clothes. At the end of the incident, one of those officers drove away in the detained person’s vehicle.",Abduction(s) Occurred,"U.S. Border Patrol, Immigration and Customs Enforcement (ICE), Pima County Sheriff's Department (PCSD), Tucson Police Department (TPD)",6,2,CPH4874 (ICE); CWS9867 (TPD),,32.235204,-110.984443,April 2025,Older than 6 months,Vehicle Stop_Older than 6 months
INC-008,Vehicle Stop,Residential Area,Confirmed,Keeling,24-Apr-2025,6:30 AM,Manhunt conducted by ICE and at least one DEA agent in unmarked vehicles in a neighborhood,Attempted Abduction(s) — Unknown Outcome,"Immigration and Customs Enforcement (ICE), Drug Enforcement Administration (DEA)",7+,6,CBC9452; CTN4351; CWL6437; CWS5989; CWW1146,,32.255818,-110.969822,April 2025,Older than 6 months,Vehicle Stop_Older than 6 months
INC-009,Raid,Residential Area,Confirmed,Julia Keen,29-Apr-2025,,"Raid at a private residence involving ICE/HSI, DEA, and other agencies",Abduction(s) Occurred,Immigration and Customs Enforcement (ICE) / Homeland Security Investigations (HSI) [part of ICE]; Drug Enforcement Administration (DEA); Tucson Police Department (TPD); Sierra Vista Police Department (SVPD),Many,9+,CBC9510; CM58097; CM60189; CWB7597; CWG4407; CWW1164; CPH4886; CWN3813; CWP3302,,32.205306,-110.922353,April 2025,Older than 6 months,Raid_Older than 6 months
INC-010,Aerial Surveillance (Aircraft),Unknown/Other,Confirmed,Flowing Wells,1-May-2025,11:11 AM,DHS/CBP surveillance plane N51824 flying a surveillance operation over Flowing Wells and surrounding areas,Unknown or Not Applicable,Department of Homeland Security (DHS) / U.S. Customs and Border Protection (CBP),Unknown,N/A,N/A,,32.301505,-111.012095,May 2025,Older than 6 months,Aerial Surveillance (Aircraft)_Older than 6 months
INC-011,Raid,Residential Area,Confirmed,Sabino Terrace,1-May-2025,7:00 PM,Large home raid at an apartment complex involving ICE/HSI and U.S. Customs and Border Protection (possibly a US Border Patrol BORTAC team),Attempted Abduction(s) — Unknown Outcome,"Immigration and Customs Enforcement (ICE) / Homeland Security Investigations (HSI) [part of ICE], U.S. Customs and Border Protection (possibly US Border Patrol)",12+,12+,BHR1013; CWW1822,,32.294337,-110.820992,May 2025,Older than 6 months,Raid_Older than 6 months
