Facility Type,Facility Name,Latitude,Longitude,Address,Agency,Landowner,Property Management,Notes
ICE Facility,ICE Sub-Field Office [Primary ICE facility in Tucson],32.135660,-110.924800,"6431 S Country Club Rd, Tucson, AZ 85706",Immigration and Customs Enforcement (ICE),ABP LLC,Chapman Management Group,"This facility houses multiple ICE directorates, including Enforcement and Removal Operations (ERO), Homeland Security Investigations (HSI), and Office of the Principal Legal Advisor (OPLA)"
ICE Facility,Unknown ICE administrative office [unconfirmed],32.292266,-110.977604,"4720 N Oracle Rd #308, Tucson, AZ 85705",Immigration and Customs Enforcement (ICE),Oracle Office Park Associates LLC,"M.A.S. Real Estate Services, Inc. (Part of Regina Spaeth's property management portfolio)",Unconfirmed site
CBP Facility,CBP Tucson Field Office,32.292585,-110.977393,"4760 N Oracle Rd # 316, Tucson, AZ 85705",U.S. Customs and Border Protection (CBP),Oracle Office Park Associates LLC,,
CBP Facility,Unknown CBP facility,32.163646,-110.895633,"4717 S Belvedere Ave, Tucson, AZ 85707",U.S. Customs and Border Protection (CBP),Davis Monthan Air Force Base,,
CBP Facility,CBP Air & Marine Operations (AMO) Tucson Air Branch,32.181750,-110.886243,Unknown,U.S. Customs and Border Protection (CBP),Davis Monthan Air Force Base,,U.S. Customs and Border Protection's Air & Marine Operations (AMO) is responsible for all DHS aircraft
CBP Facility,CBP Tucson Port Office / CBP Tucson Port of Entry,32.122925,-110.942106,"7081 S Plumer Ave, Tucson, AZ 85756",U.S. Customs and Border Protection (CBP),City of Tucson (Tucson International Airport),,
U.S. Border Patrol Facility,U.S. Border Patrol Tucson Sector Headquarters,32.193636,-110.893435,"2430 S Swan Rd, Tucson, AZ 85711",U.S. Border Patrol,Davis Monthan Air Force Base,,This facility also houses the CBP/BP Arizona Air Coordination Center (A2C2) and the Intelligence and Operations Coordination Center
U.S. Border Patrol Facility,U.S. Border Patrol Tucson Sector Staging Facility,32.178710,-111.006920,"1936 W Ajo Wy, Tucson, AZ 85713",U.S. Border Patrol,United States of America,,
CBP Facility,Hangar / helicopter refueling area used by DHS/CBP,32.130703,-110.939595,"6666 S Plumer Ave, Tucson, AZ 85756",U.S. Customs and Border Protection's Air & Marine Operations (AMO) [unconfirmed],City of Tucson (Tucson International Airport),,
Shared Use Facility,Helicopter refueling area used by DHS/CBP,32.105499,-110.921569,N/A,N/A,City of Tucson (Tucson International Airport),,This area does not appear to be a facility exclusively used by CBP
USCIS Facility,USCIS Field Office / USCIS Application Support Center (ASC),32.171119,-110.917092,"4475 S Coach Dr, Tucson, AZ 85714",U.S. Citizenship And Immigration Services (USCIS),Tucson AZ IV SGF LLC,,
Shared Use Facility,Tucson Federal Building,32.222037,-110.975526,"300 W Congress St, Tucson, AZ 85701","U.S. Marshals, DHS Office of Inspector General (DHS OIG), U.S. Citizenship And Immigration Services (USCIS)",United States of America,,
DEA Facility / Fusion Center,DEA Tucson District Office / fusion center [see notes],32.125593,-110.918238,"6970 S Palo Verde Rd, Tucson, AZ 85756",Drug Enforcement Administration (DEA),Tucson GSA LLC,"M.A.S. Real Estate Services, Inc. (Part of Regina Spaeth's property management portfolio)","Fusion center facility involving DEA, ICE/HSI, USMS, etc. Fusion centers are state-owned, collaborative hubs that gather, analyze, and share intelligence between local, state, and federal police agencies. Private sector entities may also participate."
FBI Facility,FBI Resident Agency Facility (Satellite Office),32.223800,-110.985780,"275 N Commerce Park Loop, Tucson, AZ 85745",Federal Bureau of Investigation (FBI),QIP Tucson Office 1 LLC,,
